artist,song_title,mfccs_mean
Bipul Chettri,Junkeri,"[-292.5827941894531, 114.49655151367188, -41.15961456298828, 49.490901947021484, -26.878067016601562, 2.83070969581604, 4.7473673820495605, -14.931642532348633, 1.2860066890716553, -18.471054077148438, -11.169342041015625, -21.312015533447266, -6.025741100311279]"
Bipul Chettri,Neela Akash,"[-335.404296875, 107.88236999511719, -14.779559135437012, 40.938743591308594, -12.084506034851074, -4.547989368438721, 2.526418924331665, 4.9326887130737305, -1.3918737173080444, -17.142229080200195, -6.09303617477417, -22.50537872314453, 0.8544809222221375]"
Bipul Chettri,Ram Sailee-Ode To My Father,"[-287.588134765625, 99.63139343261719, -27.100915908813477, 42.30802917480469, -13.641303062438965, 9.944252014160156, -5.1824164390563965, -16.283475875854492, 0.9487208127975464, -16.58171272277832, -6.543206214904785, -22.472501754760742, -4.927082061767578]"
Bipul Chettri,WildFire(Dadhelo),"[-319.73272705078125, 114.96133422851562, -22.215999603271484, 40.15473937988281, -23.07138442993164, 8.899455070495605, 10.189570426940918, -11.251617431640625, -4.945217609405518, -15.438018798828125, -5.728829860687256, -21.704967498779297, -8.148537635803223]"
Deepak Bajracharya,Man Magan,"[-340.5920715332031, 111.93614196777344, -65.57203674316406, 5.7659807205200195, -19.646915435791016, 27.891761779785156, -24.18934440612793, -26.86305809020996, 7.690781593322754, -34.3476676940918, -17.687646865844727, -12.766129493713379, 2.1873655319213867]"
Deepak Bajracharya,Wora Para,"[-358.87103271484375, 138.8048858642578, -12.034391403198242, -11.991673469543457, -29.54911231994629, 3.1253421306610107, -24.64198875427246, -4.065725803375244, -1.3416606187820435, -33.55775451660156, -15.512662887573242, -16.31510353088379, 6.024519443511963]"
Deepak Jangam,Gajalu Ti Thula Thula,"[-310.8495178222656, 139.464111328125, -38.78745651245117, 25.369443893432617, -1.4917049407958984, -1.9070452451705933, 5.571178913116455, -17.000877380371094, -20.48862648010254, -26.074237823486328, -22.053874969482422, -20.104286193847656, -8.383132934570312]"
Deepak Jangam,Timilai Ma Ke Bhanu,"[-387.9872131347656, 97.49525451660156, -34.697593688964844, 24.4519100189209, -7.841459274291992, 10.977997779846191, 10.636757850646973, -35.5903434753418, 7.696197509765625, -4.673860549926758, -40.88745880126953, -10.336360931396484, -6.7649455070495605]"
Gopal Yonjan,Baneko Chha Paharale,"[-309.8061828613281, 179.6192626953125, 4.249744415283203, -24.816722869873047, 16.359407424926758, 1.6050612926483154, -25.87188148498535, -17.842519760131836, -15.50197696685791, -25.42661476135254, -17.90854263305664, -9.93551254272461, -16.632570266723633]"
Gopal Yonjan,Bhok Lagyo,"[-304.1574401855469, 104.24034881591797, -142.46070861816406, -11.405927658081055, 13.81938362121582, -28.966035842895508, -19.882572174072266, -22.272052764892578, -20.409442901611328, -16.738712310791016, -4.605767726898193, -1.7073801755905151, -10.046300888061523]"
Gopal Yonjan,Ma Kasari Bhanu,"[-309.1620788574219, 137.46971130371094, -54.704158782958984, -6.149946212768555, 37.825599670410156, -5.372320652008057, -17.1154842376709, -7.824331760406494, -4.751352310180664, -13.471077919006348, -29.705596923828125, -17.428422927856445, -5.772636413574219]"
Gopal Yonjan,Mero Topi,"[-281.5932312011719, 169.17233276367188, -42.58415985107422, -4.611827850341797, 17.30430793762207, 2.9657983779907227, -24.40123748779297, -15.021501541137695, -10.890750885009766, -33.25791931152344, -17.453527450561523, -13.185396194458008, -14.07421875]"
Gopal Yonjan,Nepali Nepalko,"[-332.2276306152344, 145.53196716308594, -62.272308349609375, 3.7285163402557373, 29.945388793945312, 1.3556878566741943, -13.560434341430664, -25.194210052490234, -17.863590240478516, -25.526609420776367, -24.10142707824707, -5.101762771606445, -13.58032512664795]"
Gyanu Rana,Chyangba Hai Chyangba,"[-336.59576416015625, 127.42023468017578, -81.39952087402344, -31.4868106842041, 16.40575408935547, -18.73973274230957, -10.642050743103027, -3.6539785861968994, -21.042879104614258, -15.67204761505127, -8.750168800354004, -11.297386169433594, -10.65062427520752]"
Harish Mathema,Ma Bhakta Hu Yo Desh,"[-247.9900665283203, 146.8957061767578, -71.63145446777344, 21.358322143554688, -4.1619391441345215, -4.290652751922607, -10.078725814819336, -14.725817680358887, 5.608060836791992, -27.534143447875977, -25.885286331176758, -5.977777481079102, -8.345900535583496]"
Karma Band,Kaha Hola Ghar,"[-314.8333740234375, 108.62357330322266, -56.887210845947266, 11.05266284942627, -21.166784286499023, 9.800912857055664, -7.257676601409912, -24.34531021118164, -7.332564830780029, -18.56568145751953, 1.3964958190917969, -6.61485481262207, -2.7715096473693848]"
Kumar Basnet,Dekhe Pachhi,"[-334.9237060546875, 130.30120849609375, -67.52297973632812, -15.290400505065918, -25.07292938232422, -17.04657745361328, 6.407531261444092, -38.13844299316406, -28.948312759399414, 3.2868382930755615, -16.524641036987305, -25.617366790771484, -9.985467910766602]"
Manoj Kumar KC,Harsha Ko Geet,"[-358.43890380859375, 94.03650665283203, -78.63511657714844, -5.182520389556885, -25.204586029052734, -4.838180065155029, -22.67023468017578, -3.6711530685424805, 0.1903747320175171, -35.912452697753906, 1.0631765127182007, -9.126649856567383, -16.523712158203125]"
Nabin K Bhattarai,Aankhama,"[-476.33807373046875, 135.63760375976562, -54.09191131591797, -11.488880157470703, 19.956729888916016, -2.9630303382873535, -13.62867259979248, -3.9433562755584717, -3.6226859092712402, -17.143842697143555, -9.71120834350586, -2.235927104949951, -5.870491981506348]"
Nabin K Bhattarai,Raat Bityo,"[-429.4961853027344, 118.08097076416016, -37.561031341552734, 6.03764533996582, 19.119401931762695, 21.159957885742188, -20.676055908203125, -8.699971199035645, -4.9204206466674805, -31.62403106689453, -4.4057440757751465, -15.774471282958984, -18.055362701416016]"
Nabin K Bhattarai,Sanjha Pakha,"[-354.7481994628906, 108.98607635498047, -49.99784851074219, 22.96733283996582, 13.229878425598145, 12.074548721313477, -14.099786758422852, -1.9855399131774902, 2.8612148761749268, -20.98000144958496, 4.236081123352051, -7.203958511352539, -7.083103656768799]"
Nabin K Bhattarai,Timile Herda,"[-419.3743591308594, 112.00865173339844, -56.28019714355469, 59.205230712890625, 28.461091995239258, -34.11491394042969, -23.35210418701172, -12.641765594482422, -9.751506805419922, -14.902532577514648, -14.946374893188477, -19.133779525756836, -15.759023666381836]"
Nabin K Bhattarai,Yaad Sanchi Samjhana,"[-273.50970458984375, 117.57120513916016, -63.17591094970703, 17.18913459777832, -5.296236515045166, -3.226655960083008, -14.40349292755127, -13.405302047729492, 1.1402724981307983, -22.937387466430664, -5.231316566467285, -2.4006831645965576, -18.872766494750977]"
Narayan Gopal,Yo Samjhine Maan Chha,"[-316.3732604980469, 120.68901062011719, -60.14559555053711, 23.27784538269043, 36.63194274902344, 17.137502670288086, 8.839895248413086, -20.870256423950195, -8.486324310302734, -12.5572509765625, -27.930742263793945, -13.278937339782715, -10.88039493560791]"
Natikaji-Taradevi,Aanshu Ra Suskera Ka,"[-382.46380615234375, 69.66294860839844, -65.39888000488281, 10.090911865234375, -7.750792503356934, -16.31607437133789, -8.710515975952148, -18.549209594726562, -0.674770712852478, -17.41818618774414, -25.21803092956543, -12.11612319946289, -19.529232025146484]"
Natikaji-Taradevi,Dharti Ko Chhati,"[-568.2207641601562, 79.75196075439453, 14.179374694824219, 19.663543701171875, 6.471822738647461, -9.987814903259277, -4.473667621612549, -10.144351959228516, -21.672565460205078, -17.057958602905273, -7.319039344787598, -8.932170867919922, -14.193570137023926]"
Natikaji-Taradevi,Ghamma Pani Maya,"[-344.97412109375, 120.14779663085938, -56.86446762084961, -25.478851318359375, 6.932753086090088, -11.158449172973633, -15.441959381103516, -11.682944297790527, -13.111282348632812, -31.540241241455078, -30.255380630493164, -9.438192367553711, -17.940603256225586]"
